trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
1,2026-03-30T12:00:00-04:00,2026-03-30,commodities,CLF,13984.14,1013984.14,0.0,0.0
2,2026-03-30T12:05:00-04:00,2026-03-30,commodities,CLF,-7036.34,1006947.8,-7036.34,-0.6939
3,2026-03-30T12:25:00-04:00,2026-03-30,commodities,NGF,6599.53,1013547.33,-436.81,-0.0431
4,2026-03-30T12:25:00-04:00,2026-03-30,commodities,SIF,4426.1,1017973.43,0.0,0.0
5,2026-03-30T13:05:00-04:00,2026-03-30,commodities,GCF,4316.36,1022289.79,0.0,0.0
6,2026-03-30T13:05:00-04:00,2026-03-30,commodities,HGF,2448.79,1024738.58,0.0,0.0
7,2026-03-30T13:10:00-04:00,2026-03-30,commodities,GCF,-2683.76,1022054.82,-2683.76,-0.2619
8,2026-03-30T13:10:00-04:00,2026-03-30,commodities,SIF,-4672.59,1017382.23,-7356.35,-0.7179
9,2026-03-30T13:15:00-04:00,2026-03-30,commodities,HGF,-1737.75,1015644.48,-9094.1,-0.8875
10,2026-03-30T13:45:00-04:00,2026-03-30,commodities,NGF,6293.71,1021938.19,-2800.39,-0.2733
11,2026-03-30T14:25:00-04:00,2026-03-30,commodities,NGF,-4395.45,1017542.74,-7195.84,-0.7022
12,2026-03-30T14:50:00-04:00,2026-03-30,commodities,CLF,7613.57,1025156.31,0.0,0.0
13,2026-03-30T15:05:00-04:00,2026-03-30,commodities,CLF,-5013.34,1020142.97,-5013.34,-0.489
14,2026-03-31T09:50:00-04:00,2026-03-31,commodities,CLF,-6369.86,1013773.11,-11383.2,-1.1104
15,2026-03-31T09:50:00-04:00,2026-03-31,commodities,GCF,-4175.56,1009597.55,-15558.76,-1.5177
16,2026-03-31T10:00:00-04:00,2026-03-31,commodities,HGF,-2393.12,1007204.43,-17951.88,-1.7511
17,2026-03-31T10:00:00-04:00,2026-03-31,commodities,SIF,-8253.45,998950.98,-26205.33,-2.5562
18,2026-03-31T11:10:00-04:00,2026-03-31,commodities,NGF,-6552.14,992398.84,-32757.47,-3.1954
19,2026-03-31T12:10:00-04:00,2026-03-31,commodities,CLF,-7518.54,984880.3,-40276.01,-3.9288
20,2026-03-31T12:45:00-04:00,2026-03-31,commodities,NGF,12973.68,997853.98,-27302.33,-2.6632
21,2026-03-31T13:00:00-04:00,2026-03-31,commodities,CLF,-9999.59,987854.39,-37301.92,-3.6387
22,2026-03-31T14:10:00-04:00,2026-03-31,commodities,NGF,4842.6,992696.99,-32459.32,-3.1663
23,2026-03-31T14:15:00-04:00,2026-03-31,commodities,NGF,4130.85,996827.84,-28328.47,-2.7633
24,2026-03-31T15:20:00-04:00,2026-03-31,commodities,CLF,956.02,997783.86,-27372.45,-2.6701
25,2026-03-31T15:20:00-04:00,2026-03-31,commodities,NGF,1728.31,999512.17,-25644.14,-2.5015
26,2026-03-31T15:20:00-04:00,2026-03-31,commodities,NGF,-0.0,999512.17,-25644.14,-2.5015
27,2026-04-01T09:35:00-04:00,2026-04-01,commodities,CLF,-9999.35,989512.82,-35643.49,-3.4769
28,2026-04-01T09:50:00-04:00,2026-04-01,commodities,NGF,-7059.64,982453.18,-42703.13,-4.1655
29,2026-04-01T10:00:00-04:00,2026-04-01,commodities,HGF,-2203.95,980249.23,-44907.08,-4.3805
30,2026-04-01T10:45:00-04:00,2026-04-01,commodities,SIF,7144.44,987393.67,-37762.64,-3.6836
31,2026-04-01T11:00:00+05:30,2026-04-01,derivatives,CNXAUTO,-4604.19,982789.48,-42366.83,-4.1327
32,2026-04-01T11:00:00+05:30,2026-04-01,derivatives,CNXFMCG,-4018.86,978770.62,-46385.69,-4.5247
33,2026-04-01T11:05:00-04:00,2026-04-01,commodities,SIF,-5348.33,973422.29,-51734.02,-5.0465
34,2026-04-01T11:10:00+05:30,2026-04-01,equity,RELIANCE_NS,2187.0,975609.29,-49547.02,-4.8331
35,2026-04-01T11:20:00-04:00,2026-04-01,commodities,HGF,-2422.81,973186.48,-51969.83,-5.0695
36,2026-04-01T11:55:00+05:30,2026-04-01,equity,HDFCBANK_NS,3950.07,977136.55,-48019.76,-4.6841
37,2026-04-01T11:55:00+05:30,2026-04-01,equity,SBIN_NS,-4487.84,972648.71,-52507.6,-5.1219
38,2026-04-01T12:05:00+05:30,2026-04-01,derivatives,CNXIT,3793.32,976442.03,-48714.28,-4.7519
39,2026-04-01T12:05:00+05:30,2026-04-01,equity,HDFCBANK_NS,5241.63,981683.66,-43472.65,-4.2406
40,2026-04-01T12:05:00+05:30,2026-04-01,equity,INFY_NS,3870.0,985553.66,-39602.65,-3.8631
41,2026-04-01T12:05:00+05:30,2026-04-01,equity,RELIANCE_NS,-3591.59,981962.07,-43194.24,-4.2134
42,2026-04-01T12:10:00+05:30,2026-04-01,equity,TCS_NS,1550.42,983512.49,-41643.82,-4.0622
43,2026-04-01T12:10:00-04:00,2026-04-01,commodities,CLF,-8876.54,974635.95,-50520.36,-4.9281
44,2026-04-01T12:20:00+05:30,2026-04-01,equity,TCS_NS,1224.0,975859.95,-49296.36,-4.8087
45,2026-04-01T12:25:00+05:30,2026-04-01,equity,TCS_NS,-3414.02,972445.93,-52710.38,-5.1417
46,2026-04-01T12:30:00+05:30,2026-04-01,equity,INFY_NS,6322.16,978768.09,-46388.22,-4.525
47,2026-04-01T12:35:00+05:30,2026-04-01,derivatives,CNXIT,5032.5,983800.59,-41355.72,-4.0341
48,2026-04-01T12:35:00+05:30,2026-04-01,equity,ICICIBANK_NS,902.08,984702.67,-40453.64,-3.9461
49,2026-04-01T12:45:00+05:30,2026-04-01,derivatives,NSEBANK,-3166.57,981536.1,-43620.21,-4.255
50,2026-04-01T12:45:00+05:30,2026-04-01,equity,LT_NS,-4404.09,977132.01,-48024.3,-4.6846
51,2026-04-01T12:50:00+05:30,2026-04-01,equity,ICICIBANK_NS,1968.02,979100.03,-46056.28,-4.4926
52,2026-04-01T13:05:00+05:30,2026-04-01,derivatives,CNXIT,-3044.38,976055.65,-49100.66,-4.7896
53,2026-04-01T13:05:00+05:30,2026-04-01,equity,INFY_NS,-3711.83,972343.82,-52812.49,-5.1517
54,2026-04-01T13:10:00+05:30,2026-04-01,derivatives,CNXAUTO,-3157.79,969186.03,-55970.28,-5.4597
55,2026-04-01T13:10:00+05:30,2026-04-01,equity,ICICIBANK_NS,-3046.76,966139.27,-59017.04,-5.7569
56,2026-04-01T13:35:00+05:30,2026-04-01,derivatives,NSEI,3504.5,969643.77,-55512.54,-5.415
57,2026-04-01T13:35:00+05:30,2026-04-01,equity,KOTAKBANK_NS,4452.82,974096.59,-51059.72,-4.9807
58,2026-04-01T13:40:00+05:30,2026-04-01,derivatives,NSEI,-2034.45,972062.14,-53094.17,-5.1791
59,2026-04-01T13:40:00+05:30,2026-04-01,equity,ITC_NS,2215.18,974277.32,-50878.99,-4.963
60,2026-04-01T13:40:00+05:30,2026-04-01,equity,ITC_NS,-2408.52,971868.8,-53287.51,-5.198
61,2026-04-01T13:40:00+05:30,2026-04-01,equity,KOTAKBANK_NS,-3589.24,968279.56,-56876.75,-5.5481
62,2026-04-01T13:40:00+05:30,2026-04-01,equity,RELIANCE_NS,-2982.35,965297.21,-59859.1,-5.839
63,2026-04-01T13:45:00+05:30,2026-04-01,derivatives,CNXFMCG,6487.93,971785.14,-53371.17,-5.2061
64,2026-04-01T13:45:00-04:00,2026-04-01,commodities,CLF,-6166.63,965618.51,-59537.8,-5.8077
65,2026-04-01T14:00:00-04:00,2026-04-01,commodities,GCF,-1819.4,963799.11,-61357.2,-5.9852
66,2026-04-01T14:15:00+05:30,2026-04-01,derivatives,CNXAUTO,-3461.51,960337.6,-64818.71,-6.3228
67,2026-04-01T14:15:00-04:00,2026-04-01,commodities,HGF,-1571.01,958766.59,-66389.72,-6.4761
68,2026-04-01T14:15:00-04:00,2026-04-01,commodities,SIF,-3074.9,955691.69,-69464.62,-6.776
69,2026-04-01T14:30:00+05:30,2026-04-01,derivatives,NSEBANK,3273.71,958965.4,-66190.91,-6.4567
70,2026-04-01T14:35:00+05:30,2026-04-01,derivatives,NSEBANK,1385.07,960350.47,-64805.84,-6.3216
71,2026-04-01T14:35:00+05:30,2026-04-01,equity,LT_NS,-4850.73,955499.74,-69656.57,-6.7947
72,2026-04-01T14:40:00+05:30,2026-04-01,derivatives,NSEBANK,-3014.29,952485.45,-72670.86,-7.0888
73,2026-04-01T14:45:00+05:30,2026-04-01,equity,HDFCBANK_NS,3543.08,956028.53,-69127.78,-6.7431
74,2026-04-01T14:50:00-04:00,2026-04-01,commodities,NGF,3900.69,959929.22,-65227.09,-6.3626
75,2026-04-01T15:05:00+05:30,2026-04-01,equity,HDFCBANK_NS,-3710.11,956219.11,-68937.2,-6.7246
76,2026-04-01T15:20:00+05:30,2026-04-01,derivatives,CNXFMCG,3225.55,959444.66,-65711.65,-6.4099
77,2026-04-01T15:20:00+05:30,2026-04-01,equity,ICICIBANK_NS,1815.06,961259.72,-63896.59,-6.2329
78,2026-04-01T15:20:00+05:30,2026-04-01,equity,SBIN_NS,-3764.15,957495.57,-67660.74,-6.6
79,2026-04-01T15:20:00-04:00,2026-04-01,commodities,CLF,4093.89,961589.46,-63566.85,-6.2007
80,2026-04-01T15:20:00-04:00,2026-04-01,commodities,NGF,2847.95,964437.41,-60718.9,-5.9229
81,2026-04-02T11:15:00+05:30,2026-04-02,equity,TCS_NS,2649.56,967086.97,-58069.34,-5.6644
82,2026-04-02T11:15:00-04:00,2026-04-02,commodities,GCF,2098.78,969185.75,-55970.56,-5.4597
83,2026-04-02T11:25:00-04:00,2026-04-02,commodities,SIF,6475.21,975660.96,-49495.35,-4.8281
84,2026-04-02T11:30:00+05:30,2026-04-02,derivatives,CNXIT,-4035.53,971625.43,-53530.88,-5.2217
85,2026-04-02T11:55:00+05:30,2026-04-02,equity,INFY_NS,4171.04,975796.47,-49359.84,-4.8149
86,2026-04-02T12:00:00-04:00,2026-04-02,commodities,HGF,4187.44,979983.91,-45172.4,-4.4064
