trade_id,report_date,entry_date,exit_date,signal_timestamp,entry_timestamp,direction,entry_price_points,entry_ma,initial_stop_points,initial_risk_points,target_price_points,entry_gap_pct,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_ma,points_pnl,quantity_btc,entry_notional_usd,exit_notional_usd,gross_pnl_usd,trade_return_pct,cumulative_pnl_usd,equity_after_trade,holding_days,remarks
T00001,2025-05-15,2025-05-15,2025-05-15,2025-05-15 00:00:00+00:00,2025-05-15 01:00:00+00:00,LONG,103831.66,103626.17,103626.17,205.49,104859.11,0.1983,2025-05-15 01:00:00+00:00,2025-05-15 02:00:00+00:00,103626.17,stop_loss_ma_touch,103626.17,-205.49,9.63097383,1000000.00,998020.92,-1979.08,-0.1979,-1979.08,998020.92,0,
T00002,2025-05-15,2025-05-15,2025-05-15,2025-05-15 02:00:00+00:00,2025-05-15 03:00:00+00:00,SHORT,103068.27,103571.46,103571.46,503.19,100552.30,0.4858,2025-05-15 15:00:00+00:00,2025-05-15 16:00:00+00:00,102859.03,stop_loss_ma_touch,102859.03,209.24,9.70230702,1000000.00,997969.89,2030.11,0.2030,51.04,1000051.04,0,
T00003,2025-05-15,2025-05-15,2025-05-15,2025-05-15 15:00:00+00:00,2025-05-15 16:00:00+00:00,LONG,103286.86,102848.61,102848.61,438.25,105478.10,0.4261,2025-05-15 18:00:00+00:00,2025-05-15 19:00:00+00:00,102898.37,stop_loss_ma_touch,102898.37,-388.49,9.68177365,1000000.00,996238.71,-3761.29,-0.3761,-3710.25,996289.75,0,
T00004,2025-05-15,2025-05-15,2025-05-15,2025-05-15 18:00:00+00:00,2025-05-15 19:00:00+00:00,SHORT,102712.37,102863.82,102863.82,151.45,101955.13,0.1472,2025-05-15 19:00:00+00:00,2025-05-15 20:00:00+00:00,102863.82,stop_loss_ma_touch,102863.82,-151.45,9.73592567,1000000.00,1001474.48,-1474.48,-0.1474,-5184.73,994815.27,0,
T00005,2025-05-15,2025-05-15,2025-05-15,2025-05-15 19:00:00+00:00,2025-05-15 20:00:00+00:00,LONG,103179.60,102858.72,102858.72,320.88,104784.01,0.3120,2025-05-15 21:00:00+00:00,2025-05-15 22:00:00+00:00,102853.58,stop_loss_ma_touch,102853.58,-326.02,9.69183831,1000000.00,996840.30,-3159.70,-0.3160,-8344.43,991655.57,0,
T00006,2025-05-16,2025-05-15,2025-05-16,2025-05-15 21:00:00+00:00,2025-05-15 22:00:00+00:00,LONG,103323.25,102839.30,102839.30,483.95,105743.00,0.4706,2025-05-16 08:00:00+00:00,2025-05-16 09:00:00+00:00,103250.95,stop_loss_ma_touch,103250.95,-72.30,9.67836378,1000000.00,999300.22,-699.78,-0.0700,-9044.21,990955.79,1,
T00007,2025-05-16,2025-05-16,2025-05-16,2025-05-16 08:00:00+00:00,2025-05-16 09:00:00+00:00,LONG,103427.69,103298.44,103298.44,129.25,104073.93,0.1251,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,103559.07,stop_loss_ma_touch,103559.07,131.38,9.66859068,1000000.00,1001270.22,1270.22,0.1270,-7774.00,992226.00,0,
T00008,2025-05-16,2025-05-16,2025-05-16,2025-05-16 13:00:00+00:00,2025-05-16 14:00:00+00:00,LONG,104048.99,103637.28,103637.28,411.71,106107.53,0.3973,2025-05-16 14:00:00+00:00,2025-05-16 15:00:00+00:00,103637.28,stop_loss_ma_touch,103637.28,-411.71,9.61085735,1000000.00,996043.13,-3956.87,-0.3957,-11730.87,988269.13,0,
T00009,2025-05-16,2025-05-16,2025-05-16,2025-05-16 14:00:00+00:00,2025-05-16 15:00:00+00:00,SHORT,103619.05,103704.80,103704.80,85.75,103190.28,0.0827,2025-05-16 15:00:00+00:00,2025-05-16 16:00:00+00:00,103704.80,stop_loss_ma_touch,103704.80,-85.75,9.65073507,1000000.00,1000827.59,-827.59,-0.0828,-12558.46,987441.54,0,
T00010,2025-05-16,2025-05-16,2025-05-16,2025-05-16 15:00:00+00:00,2025-05-16 16:00:00+00:00,LONG,104229.40,103744.08,103744.08,485.32,106656.02,0.4678,2025-05-16 18:00:00+00:00,2025-05-16 19:00:00+00:00,103754.00,stop_loss_ma_touch,103754.00,-475.40,9.59422198,1000000.00,995438.94,-4561.06,-0.4561,-17119.52,982880.48,0,
T00011,2025-05-16,2025-05-16,2025-05-16,2025-05-16 18:00:00+00:00,2025-05-16 19:00:00+00:00,SHORT,103721.93,103796.07,103796.07,74.14,103351.24,0.0714,2025-05-16 19:00:00+00:00,2025-05-16 20:00:00+00:00,103796.07,stop_loss_ma_touch,103796.07,-74.14,9.64116267,1000000.00,1000714.78,-714.78,-0.0715,-17834.30,982165.70,0,
T00012,2025-05-16,2025-05-16,2025-05-16,2025-05-16 19:00:00+00:00,2025-05-16 20:00:00+00:00,LONG,104069.32,103833.14,103833.14,236.18,105250.22,0.2275,2025-05-16 20:00:00+00:00,2025-05-16 21:00:00+00:00,103833.14,stop_loss_ma_touch,103833.14,-236.18,9.60897986,1000000.00,997730.55,-2269.45,-0.2269,-20103.75,979896.25,0,
T00013,2025-05-17,2025-05-16,2025-05-17,2025-05-16 20:00:00+00:00,2025-05-16 21:00:00+00:00,SHORT,103718.91,103844.04,103844.04,125.13,103093.27,0.1205,2025-05-17 01:00:00+00:00,2025-05-17 02:00:00+00:00,103093.27,target_hit_rr,103829.73,625.64,9.64144340,1000000.00,993967.97,6032.03,0.6032,-14071.72,985928.28,1,Fixed 5R target hit.
