target_level,market,instrument,session_date,signal,original_signal,direction,signal_time,entry_time,pine_entry_price,entry_price,stop_price,target_price,tp1,tp2,tp3,tp4,tp5,atr,risk_per_unit_reference,ema_fast,ema_slow,vwap,rsi,macd,macd_signal,adx,volume,volume_sma,bull_score_pct,bear_score_pct,bias,quantity,notional,position_risk_amount,slippage_points,max_target_hit,holding_candles,exit_time,exit_price,exit_reason,gross_pnl,costs,net_pnl,return_pct_on_notional,r_multiple
3,commodities,CLF,2026-03-30,SELL,SELL,SHORT,2026-03-30T11:40:00-04:00,2026-03-30T11:45:00-04:00,101.529999,101.540001,102.187734,99.556794,100.872264,100.214529,99.556794,98.899059,98.241324,0.43849,0.657735,102.075535,102.096368,102.124457,42.1444,0.021893,0.084693,13.0405,2423.0,2776.1,0.0,71.43,STRONG BEAR,984,99915.36,637.37,0.0,0,2,2026-03-30T11:50:00-04:00,102.187734,STOP_LOSS,-637.37,0.0,-637.37,-0.6379,-1.0
3,commodities,CLF,2026-03-30,BUY,BUY,LONG,2026-03-30T11:55:00-04:00,2026-03-30T12:00:00-04:00,102.970001,102.959999,102.255504,105.113492,103.684498,104.398995,105.113492,105.827989,106.542486,0.476331,0.714497,102.264674,102.175761,102.152513,63.2034,0.088775,0.064525,12.7246,5153.0,2710.8,85.71,0.0,STRONG BULL,971,99974.16,684.06,0.0,1,29,2026-03-30T14:20:00-04:00,102.440002,OPPOSITE_SIGNAL,-504.92,0.0,-504.92,-0.505,-0.7381
3,commodities,CLF,2026-03-30,SELL,SELL,SHORT,2026-03-30T14:15:00-04:00,2026-03-30T14:20:00-04:00,102.440002,102.440002,103.028204,100.675399,101.851801,101.2636,100.675399,100.087198,99.498997,0.392134,0.588201,103.005304,103.061645,102.534855,39.0219,0.029376,0.152161,15.7692,4338.0,1958.7,0.0,85.71,STRONG BEAR,976,99981.44,574.08,0.0,0,3,2026-03-30T14:30:00-04:00,103.028204,STOP_LOSS,-574.08,0.0,-574.08,-0.5742,-1.0
3,commodities,CLF,2026-03-30,BUY,BUY,LONG,2026-03-30T14:45:00-04:00,2026-03-30T14:50:00-04:00,103.209999,103.220001,102.682518,104.792442,103.73748,104.264961,104.792442,105.319923,105.847404,0.351654,0.527481,103.082723,103.07171,102.570504,53.7527,0.037213,0.055731,12.1753,672.0,2381.1,57.14,14.29,STRONG BULL,968,99916.96,520.28,0.0,1,7,2026-03-30T15:20:00-04:00,103.949997,SESSION_END,706.64,0.0,706.64,0.7072,1.3582
3,commodities,CLF,2026-03-31,SELL,SELL,SHORT,2026-03-31T09:45:00-04:00,2026-03-31T09:50:00-04:00,102.870003,102.879997,103.515344,100.933978,102.224661,101.57932,100.933978,100.288636,99.643295,0.430228,0.645342,103.34161,103.343828,103.296883,43.0639,0.04757,0.114881,15.3561,3404.0,2158.15,0.0,85.71,STRONG BEAR,972,99999.36,617.56,0.0,1,11,2026-03-31T10:40:00-04:00,103.515344,STOP_LOSS,-617.56,0.0,-617.56,-0.6176,-1.0
3,commodities,CLF,2026-03-31,BUY,BUY,LONG,2026-03-31T10:45:00-04:00,2026-03-31T10:50:00-04:00,104.019997,104.019997,103.237874,106.366363,104.802119,105.584241,106.366363,107.148485,107.930608,0.521415,0.782122,103.076168,103.016785,102.914606,63.6698,-0.001649,-0.11519,16.3498,4133.0,2767.6,85.71,0.0,STRONG BULL,961,99963.22,751.62,0.0,1,22,2026-03-31T12:35:00-04:00,103.237874,STOP_LOSS,-751.62,0.0,-751.62,-0.7519,-1.0
3,commodities,CLF,2026-03-31,SELL,SELL,SHORT,2026-03-31T12:40:00-04:00,2026-03-31T12:45:00-04:00,101.5,101.529999,102.617006,98.148981,100.382994,99.265987,98.148981,97.031975,95.914968,0.744671,1.117006,103.74779,103.946002,103.281078,25.889,-0.037357,0.231848,22.6793,27139.0,4135.35,0.0,85.71,STRONG BEAR,919,93306.07,998.96,0.0,0,1,2026-03-31T12:45:00-04:00,102.617006,STOP_LOSS,-998.96,0.0,-998.96,-1.0706,-1.0
3,commodities,CLF,2026-03-31,BUY,BUY,LONG,2026-03-31T14:50:00-04:00,2026-03-31T14:55:00-04:00,102.379997,102.370003,101.239415,105.801743,103.520579,104.661161,105.801743,106.942325,108.082907,0.760388,1.140582,102.003632,101.98104,102.43766,53.0835,-0.101607,-0.263694,29.7253,789.0,4151.25,71.43,14.29,STRONG BULL,884,90495.08,999.44,0.0,0,6,2026-03-31T15:20:00-04:00,102.260002,SESSION_END,-97.24,0.0,-97.24,-0.1075,-0.0973
3,commodities,CLF,2026-04-01,SELL,SELL,SHORT,2026-04-01T09:15:00-04:00,2026-04-01T09:20:00-04:00,100.300003,100.32,101.373429,97.079726,99.226577,98.153152,97.079726,96.0063,94.932875,0.715617,1.073426,101.786871,101.924898,100.34667,34.6908,-0.142436,-0.091839,26.3343,2997.0,3181.75,0.0,85.71,STRONG BEAR,949,95203.68,999.7,0.0,1,28,2026-04-01T11:35:00-04:00,99.779999,OPPOSITE_SIGNAL,512.46,0.0,512.46,0.5383,0.5126
3,commodities,CLF,2026-04-01,BUY,BUY,LONG,2026-04-01T11:30:00-04:00,2026-04-01T11:35:00-04:00,99.790001,99.779999,98.914298,102.417111,100.665704,101.541408,102.417111,103.292814,104.168517,0.583802,0.875703,99.48776,99.48546,99.285569,52.6222,-0.175047,-0.39614,31.9326,2516.0,2742.85,85.71,0.0,STRONG BULL,1002,99979.56,867.43,0.0,1,20,2026-04-01T13:10:00-04:00,99.290001,OPPOSITE_SIGNAL,-490.98,0.0,-490.98,-0.4911,-0.566
3,commodities,CLF,2026-04-01,SELL,SELL,SHORT,2026-04-01T13:05:00-04:00,2026-04-01T13:10:00-04:00,99.300003,99.290001,99.92232,97.433051,98.677686,98.055369,97.433051,96.810734,96.188417,0.414878,0.622317,99.874925,99.892394,99.518926,40.3204,0.009235,0.07422,15.4172,3233.0,2066.55,0.0,85.71,STRONG BEAR,1007,99985.03,636.75,0.0,1,14,2026-04-01T14:15:00-04:00,99.92232,STOP_LOSS,-636.75,0.0,-636.75,-0.6368,-1.0
3,commodities,CLF,2026-04-01,BUY,BUY,LONG,2026-04-01T14:25:00-04:00,2026-04-01T14:30:00-04:00,100.139999,100.150002,99.494165,102.077503,100.785834,101.431669,102.077503,102.723338,103.369173,0.430556,0.645835,99.609511,99.559809,99.519397,58.5372,-0.008848,-0.101694,15.8228,16118.0,2987.65,85.71,0.0,STRONG BULL,998,99949.7,654.53,0.0,0,11,2026-04-01T15:20:00-04:00,99.739998,SESSION_END,-409.18,0.0,-409.18,-0.4094,-0.6252
3,commodities,CLF,2026-04-02,SELL,SELL,SHORT,2026-04-02T14:55:00-04:00,2026-04-02T15:00:00-04:00,111.129997,111.110001,111.996598,108.530194,110.263396,109.396795,108.530194,107.663593,106.796992,0.577734,0.866601,111.364683,111.370777,110.877958,47.7213,0.097868,0.215826,11.0559,1076.0,2896.1,14.29,57.14,STRONG BEAR,900,99999.0,797.94,0.0,0,5,2026-04-02T15:20:00-04:00,111.32,SESSION_END,-189.0,0.0,-189.0,-0.189,-0.2369
3,commodities,CLF,2026-04-06,BUY,BUY,LONG,2026-04-06T09:15:00-04:00,2026-04-06T09:20:00-04:00,111.870003,111.849998,111.082515,114.232467,112.657491,113.444979,114.232467,115.019955,115.807443,0.524992,0.787488,111.381441,111.352591,111.670001,59.4572,0.067452,0.084699,10.7385,2377.0,2482.6,57.14,14.29,STRONG BULL,894,99993.9,686.13,0.0,1,12,2026-04-06T10:15:00-04:00,111.082515,STOP_LOSS,-686.13,0.0,-686.13,-0.6862,-1.0
3,commodities,CLF,2026-04-06,SELL,SELL,SHORT,2026-04-06T10:20:00-04:00,2026-04-06T10:25:00-04:00,110.949997,110.949997,111.92345,108.029639,109.976544,109.003092,108.029639,107.056186,106.082734,0.648968,0.973453,111.72238,111.792343,112.10538,39.9699,0.040678,0.205255,16.6209,2283.0,1823.6,14.29,71.43,STRONG BEAR,901,99965.95,877.08,0.0,0,3,2026-04-06T10:35:00-04:00,111.92345,STOP_LOSS,-877.08,0.0,-877.08,-0.8774,-1.0
3,commodities,CLF,2026-04-06,BUY,BUY,LONG,2026-04-06T11:20:00-04:00,2026-04-06T11:25:00-04:00,112.07,112.080002,111.123007,114.910979,113.016993,113.963986,114.910979,115.857972,116.804965,0.631329,0.946993,111.611953,111.562655,111.750434,57.6815,0.01598,-0.059674,14.4131,998.0,1905.25,71.43,0.0,STRONG BULL,892,99975.36,853.64,0.0,0,16,2026-04-06T12:40:00-04:00,111.690002,OPPOSITE_SIGNAL,-347.88,0.0,-347.88,-0.348,-0.4075
3,commodities,CLF,2026-04-06,SELL,SELL,SHORT,2026-04-06T12:35:00-04:00,2026-04-06T12:40:00-04:00,111.730003,111.690002,112.456736,109.549804,111.00327,110.276537,109.549804,108.823071,108.096338,0.484489,0.726733,111.792575,111.797256,111.806111,49.1067,0.021845,0.057627,13.0381,585.0,1114.55,0.0,71.43,STRONG BEAR,895,99962.55,686.23,0.0,0,5,2026-04-06T13:00:00-04:00,112.239998,OPPOSITE_SIGNAL,-492.25,0.0,-492.25,-0.4924,-0.7173
3,commodities,CLF,2026-04-06,BUY,BUY,LONG,2026-04-06T12:55:00-04:00,2026-04-06T13:00:00-04:00,112.25,112.239998,111.530566,114.408302,112.969434,113.688868,114.408302,115.127735,115.847169,0.479623,0.719434,111.839023,111.805561,111.805547,57.7072,0.035315,0.024909,13.1597,1260.0,1037.15,85.71,0.0,STRONG BULL,890,99893.6,631.39,0.0,2,20,2026-04-06T14:35:00-04:00,112.360001,OPPOSITE_SIGNAL,106.8,0.0,106.8,0.1069,0.1692
3,commodities,CLF,2026-04-06,SELL,SELL,SHORT,2026-04-06T14:30:00-04:00,2026-04-06T14:35:00-04:00,112.379997,112.360001,113.311877,109.584358,111.448117,110.516238,109.584358,108.652478,107.720598,0.621253,0.93188,112.939078,112.961491,112.282542,43.522,0.119213,0.322587,20.4416,3231.0,2395.4,28.57,57.14,MILD BEAR,889,99888.04,846.22,0.0,0,10,2026-04-06T15:20:00-04:00,112.910004,SESSION_END,-488.95,0.0,-488.95,-0.4895,-0.5778
3,commodities,CLF,2026-04-07,BUY,BUY,LONG,2026-04-07T09:15:00-04:00,2026-04-07T09:20:00-04:00,115.660004,115.660004,114.731834,118.444512,116.588173,117.516343,118.444512,119.372681,120.300851,0.61878,0.928169,113.236431,112.957491,115.459999,77.1695,0.205234,0.018323,23.2723,1477.0,1857.55,71.43,0.0,STRONG BULL,864,99930.24,801.94,0.0,2,32,2026-04-07T11:55:00-04:00,115.330002,OPPOSITE_SIGNAL,-285.12,0.0,-285.12,-0.2853,-0.3555
3,commodities,CLF,2026-04-07,SELL,SELL,SHORT,2026-04-07T11:50:00-04:00,2026-04-07T11:55:00-04:00,115.330002,115.330002,116.253439,112.559691,114.406565,113.483128,112.559691,111.636254,110.712817,0.615625,0.923437,115.9684,116.000057,116.232336,44.4894,0.161403,0.405659,21.2035,2041.0,2828.75,0.0,71.43,STRONG BEAR,867,99991.11,800.62,0.0,3,31,2026-04-07T14:25:00-04:00,112.559691,TP3,2401.86,0.0,2401.86,2.4021,3.0
3,commodities,CLF,2026-04-07,BUY,BUY,LONG,2026-04-07T14:55:00-04:00,2026-04-07T15:00:00-04:00,115.120003,115.099998,114.204573,117.866293,116.035433,116.950863,117.866293,118.781724,119.697154,0.610287,0.91543,114.285081,114.232307,115.065125,59.6118,-0.099177,-0.327968,26.6474,1964.0,3382.7,85.71,0.0,STRONG BULL,868,99906.8,777.23,0.0,0,4,2026-04-07T15:15:00-04:00,114.204573,STOP_LOSS,-777.23,0.0,-777.23,-0.778,-1.0
3,commodities,CLF,2026-04-07,SELL,SELL,SHORT,2026-04-07T15:15:00-04:00,2026-04-07T15:20:00-04:00,112.440002,112.440002,113.616711,108.909877,111.263294,110.086585,108.909877,107.733168,106.55646,0.784472,1.176709,114.238562,114.265877,115.014099,35.3278,-0.08303,-0.13457,24.1317,5495.0,3393.1,14.29,71.43,STRONG BEAR,849,95461.56,999.03,0.0,0,1,2026-04-07T15:20:00-04:00,113.190002,SESSION_END,-636.75,0.0,-636.75,-0.667,-0.6374
