trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
1,2026-04-15T15:15:00+05:30,2026-04-15,derivatives,CNXAUTO_data_1h,-2941.33,997058.67,-2941.33,-0.2941
2,2026-04-15T15:15:00+05:30,2026-04-15,derivatives,CNXFMCG_data_1h,-3277.02,993781.65,-6218.35,-0.6218
3,2026-04-15T15:15:00+05:30,2026-04-15,derivatives,CNXIT_data_1h,1029.8,994811.45,-5188.55,-0.5189
4,2026-04-15T15:15:00+05:30,2026-04-15,derivatives,NSEBANK_data_1h,-4332.29,990479.16,-9520.84,-0.9521
5,2026-04-15T15:15:00+05:30,2026-04-15,derivatives,NSEI_data_1h,104.95,990584.11,-9415.89,-0.9416
6,2026-04-22T15:15:00+05:30,2026-04-22,derivatives,CNXIT_data_1h,3602.93,994187.04,-5812.96,-0.5813
7,2026-04-23T15:15:00+05:30,2026-04-23,derivatives,CNXAUTO_data_1h,8190.03,1002377.07,0.0,0.0
8,2026-04-23T15:15:00+05:30,2026-04-23,derivatives,NSEBANK_data_1h,625.03,1003002.1,0.0,0.0
9,2026-04-23T15:15:00+05:30,2026-04-23,derivatives,NSEI_data_1h,505.61,1003507.71,0.0,0.0
10,2026-04-28T11:15:00+05:30,2026-04-28,derivatives,CNXAUTO_data_1h,-8886.19,994621.52,-8886.19,-0.8855
11,2026-04-28T15:15:00+05:30,2026-04-28,derivatives,CNXAUTO_data_1h,1387.41,996008.93,-7498.78,-0.7473
12,2026-04-29T13:15:00+05:30,2026-04-29,derivatives,CNXAUTO_data_1h,-10423.46,985585.47,-17922.24,-1.786
13,2026-04-29T15:15:00+05:30,2026-04-29,derivatives,NSEI_data_1h,-6682.53,978902.94,-24604.77,-2.4519
