trade_number,exit_time,session_date,market,instrument,net_pnl,equity,drawdown,drawdown_pct
1,2026-03-30T11:55:00-04:00,2026-03-30,commodities,CLF,797.52,100797.52,0.0,0.0
2,2026-03-30T12:05:00-04:00,2026-03-30,commodities,CLF,-1049.68,99747.84,-1049.68,-1.0414
3,2026-03-30T12:25:00-04:00,2026-03-30,commodities,NGF,-967.83,98780.01,-2017.51,-2.0015
4,2026-03-30T12:25:00-04:00,2026-03-30,commodities,SIF,-150.72,98629.29,-2168.23,-2.1511
5,2026-03-30T13:05:00-04:00,2026-03-30,commodities,GCF,357.4,98986.69,-1810.83,-1.7965
6,2026-03-30T13:05:00-04:00,2026-03-30,commodities,HGF,-987.26,97999.43,-2798.09,-2.776
7,2026-03-30T13:10:00-04:00,2026-03-30,commodities,GCF,-315.75,97683.68,-3113.84,-3.0892
8,2026-03-30T13:10:00-04:00,2026-03-30,commodities,SIF,-1049.36,96634.32,-4163.2,-4.1303
9,2026-03-30T13:15:00-04:00,2026-03-30,commodities,HGF,-1049.73,95584.59,-5212.93,-5.1717
10,2026-03-30T13:45:00-04:00,2026-03-30,commodities,NGF,-974.06,94610.53,-6186.99,-6.138
11,2026-03-30T14:25:00-04:00,2026-03-30,commodities,NGF,-1049.85,93560.68,-7236.84,-7.1796
12,2026-03-30T14:50:00-04:00,2026-03-30,commodities,CLF,320.12,93880.8,-6916.72,-6.862
13,2026-03-30T15:05:00-04:00,2026-03-30,commodities,CLF,-939.95,92940.85,-7856.67,-7.7945
14,2026-03-31T09:50:00-04:00,2026-03-31,commodities,CLF,-1049.4,91891.45,-8906.07,-8.8356
15,2026-03-31T09:50:00-04:00,2026-03-31,commodities,GCF,-464.36,91427.09,-9370.43,-9.2963
16,2026-03-31T10:00:00-04:00,2026-03-31,commodities,HGF,-1049.71,90377.38,-10420.14,-10.3377
17,2026-03-31T10:00:00-04:00,2026-03-31,commodities,SIF,-1049.14,89328.24,-11469.28,-11.3785
18,2026-03-31T11:10:00-04:00,2026-03-31,commodities,NGF,-1049.88,88278.36,-12519.16,-12.4201
19,2026-03-31T12:10:00-04:00,2026-03-31,commodities,CLF,-1048.89,87229.47,-13568.05,-13.4607
20,2026-03-31T12:40:00-04:00,2026-03-31,commodities,NGF,-929.11,86300.36,-14497.16,-14.3825
21,2026-03-31T13:00:00-04:00,2026-03-31,commodities,CLF,-1049.37,85250.99,-15546.53,-15.4235
22,2026-03-31T14:10:00-04:00,2026-03-31,commodities,NGF,-963.66,84287.33,-16510.19,-16.3796
23,2026-03-31T14:15:00-04:00,2026-03-31,commodities,NGF,-977.71,83309.62,-17487.9,-17.3495
24,2026-03-31T15:20:00-04:00,2026-03-31,commodities,CLF,-236.76,83072.86,-17724.66,-17.5844
25,2026-03-31T15:20:00-04:00,2026-03-31,commodities,NGF,-986.15,82086.71,-18710.81,-18.5628
26,2026-03-31T15:20:00-04:00,2026-03-31,commodities,NGF,-1015.6,81071.11,-19726.41,-19.5703
27,2026-04-01T09:35:00-04:00,2026-04-01,commodities,CLF,-1049.1,80022.01,-20775.51,-20.6111
28,2026-04-01T09:50:00-04:00,2026-04-01,commodities,NGF,-1049.75,78972.26,-21825.26,-21.6526
29,2026-04-01T10:00:00-04:00,2026-04-01,commodities,HGF,-1049.98,77922.28,-22875.24,-22.6942
30,2026-04-01T10:45:00-04:00,2026-04-01,commodities,SIF,117.81,78040.09,-22757.43,-22.5774
31,2026-04-01T11:00:00+05:30,2026-04-01,derivatives,CNXAUTO,-550.42,77489.67,-23307.85,-23.1234
32,2026-04-01T11:00:00+05:30,2026-04-01,derivatives,CNXFMCG,-452.75,77036.92,-23760.6,-23.5726
33,2026-04-01T11:05:00-04:00,2026-04-01,commodities,SIF,-1049.4,75987.52,-24810.0,-24.6137
34,2026-04-01T11:10:00+05:30,2026-04-01,equity,RELIANCE_NS,137.2,76124.72,-24672.8,-24.4776
35,2026-04-01T11:20:00-04:00,2026-04-01,commodities,HGF,-1049.73,75074.99,-25722.53,-25.519
36,2026-04-01T11:55:00+05:30,2026-04-01,equity,HDFCBANK_NS,289.15,75364.14,-25433.38,-25.2321
37,2026-04-01T11:55:00+05:30,2026-04-01,equity,SBIN_NS,-537.48,74826.66,-25970.86,-25.7654
38,2026-04-01T12:05:00+05:30,2026-04-01,derivatives,CNXIT,264.85,75091.51,-25706.01,-25.5026
39,2026-04-01T12:05:00+05:30,2026-04-01,equity,HDFCBANK_NS,419.0,75510.51,-25287.01,-25.0869
40,2026-04-01T12:05:00+05:30,2026-04-01,equity,INFY_NS,304.2,75814.71,-24982.81,-24.7851
41,2026-04-01T12:05:00+05:30,2026-04-01,equity,RELIANCE_NS,-434.5,75380.21,-25417.31,-25.2162
42,2026-04-01T12:10:00+05:30,2026-04-01,equity,TCS_NS,86.0,75466.21,-25331.31,-25.1309
43,2026-04-01T12:10:00-04:00,2026-04-01,commodities,CLF,-1048.99,74417.22,-26380.3,-26.1716
44,2026-04-01T12:20:00+05:30,2026-04-01,equity,TCS_NS,54.0,74471.22,-26326.3,-26.118
45,2026-04-01T12:25:00+05:30,2026-04-01,equity,TCS_NS,-400.71,74070.51,-26727.01,-26.5155
46,2026-04-01T12:30:00+05:30,2026-04-01,equity,INFY_NS,550.6,74621.11,-26176.41,-25.9693
47,2026-04-01T12:35:00+05:30,2026-04-01,derivatives,CNXIT,377.5,74998.61,-25798.91,-25.5948
48,2026-04-01T12:35:00+05:30,2026-04-01,equity,ICICIBANK_NS,7.41,75006.02,-25791.5,-25.5874
49,2026-04-01T12:45:00+05:30,2026-04-01,derivatives,NSEBANK,-226.66,74779.36,-26018.16,-25.8123
50,2026-04-01T12:45:00+05:30,2026-04-01,equity,LT_NS,-496.37,74282.99,-26514.53,-26.3047
51,2026-04-01T12:50:00+05:30,2026-04-01,equity,ICICIBANK_NS,114.0,74396.99,-26400.53,-26.1916
52,2026-04-01T13:05:00+05:30,2026-04-01,derivatives,CNXIT,-356.76,74040.23,-26757.29,-26.5456
53,2026-04-01T13:05:00+05:30,2026-04-01,equity,INFY_NS,-449.11,73591.12,-27206.4,-26.9911
54,2026-04-01T13:10:00+05:30,2026-04-01,derivatives,CNXAUTO,-405.78,73185.34,-27612.18,-27.3937
55,2026-04-01T13:10:00+05:30,2026-04-01,equity,ICICIBANK_NS,-383.73,72801.61,-27995.91,-27.7744
56,2026-04-01T13:35:00+05:30,2026-04-01,derivatives,NSEI,236.0,73037.61,-27759.91,-27.5403
57,2026-04-01T13:35:00+05:30,2026-04-01,equity,KOTAKBANK_NS,283.6,73321.21,-27476.31,-27.2589
58,2026-04-01T13:40:00+05:30,2026-04-01,derivatives,CNXFMCG,450.59,73771.8,-27025.72,-26.8119
59,2026-04-01T13:40:00+05:30,2026-04-01,derivatives,NSEI,-279.25,73492.55,-27304.97,-27.0889
60,2026-04-01T13:40:00+05:30,2026-04-01,equity,ITC_NS,35.25,73527.8,-27269.72,-27.054
61,2026-04-01T13:40:00+05:30,2026-04-01,equity,ITC_NS,-426.83,73100.97,-27696.55,-27.4774
62,2026-04-01T13:40:00+05:30,2026-04-01,equity,KOTAKBANK_NS,-519.75,72581.22,-28216.3,-27.993
63,2026-04-01T13:40:00+05:30,2026-04-01,equity,RELIANCE_NS,-373.76,72207.46,-28590.06,-28.3639
64,2026-04-01T13:45:00-04:00,2026-04-01,commodities,CLF,-1049.16,71158.3,-29639.22,-29.4047
65,2026-04-01T14:00:00-04:00,2026-04-01,commodities,GCF,-232.94,70925.36,-29872.16,-29.6358
66,2026-04-01T14:15:00+05:30,2026-04-01,derivatives,CNXAUTO,-427.71,70497.65,-30299.87,-30.0601
67,2026-04-01T14:15:00-04:00,2026-04-01,commodities,HGF,-1049.64,69448.01,-31349.51,-31.1015
68,2026-04-01T14:15:00-04:00,2026-04-01,commodities,SIF,-883.45,68564.56,-32232.96,-31.9779
69,2026-04-01T14:30:00+05:30,2026-04-01,derivatives,NSEBANK,112.3,68676.86,-32120.66,-31.8665
70,2026-04-01T14:35:00+05:30,2026-04-01,derivatives,NSEBANK,12.9,68689.76,-32107.76,-31.8537
71,2026-04-01T14:35:00+05:30,2026-04-01,equity,LT_NS,-537.05,68152.71,-32644.81,-32.3865
72,2026-04-01T14:40:00+05:30,2026-04-01,derivatives,NSEBANK,-218.65,67934.06,-32863.46,-32.6034
73,2026-04-01T14:45:00+05:30,2026-04-01,equity,HDFCBANK_NS,249.25,68183.31,-32614.21,-32.3562
74,2026-04-01T14:50:00-04:00,2026-04-01,commodities,NGF,-995.66,67187.65,-33609.87,-33.3439
75,2026-04-01T15:05:00+05:30,2026-04-01,equity,HDFCBANK_NS,-474.06,66713.59,-34083.93,-33.8143
76,2026-04-01T15:20:00+05:30,2026-04-01,derivatives,CNXFMCG,237.2,66950.79,-33846.73,-33.5789
77,2026-04-01T15:20:00+05:30,2026-04-01,equity,ICICIBANK_NS,97.61,67048.4,-33749.12,-33.4821
78,2026-04-01T15:20:00+05:30,2026-04-01,equity,SBIN_NS,-465.62,66582.78,-34214.74,-33.944
79,2026-04-01T15:20:00-04:00,2026-04-01,commodities,CLF,-40.35,66542.43,-34255.09,-33.9841
80,2026-04-01T15:20:00-04:00,2026-04-01,commodities,NGF,-1001.78,65540.65,-35256.87,-34.9779
81,2026-04-02T11:15:00+05:30,2026-04-02,equity,TCS_NS,196.0,65736.65,-35060.87,-34.7835
82,2026-04-02T11:15:00-04:00,2026-04-02,commodities,GCF,149.5,65886.15,-34911.37,-34.6351
83,2026-04-02T11:25:00-04:00,2026-04-02,commodities,SIF,14.4,65900.55,-34896.97,-34.6209
84,2026-04-02T11:30:00+05:30,2026-04-02,derivatives,CNXIT,-446.87,65453.68,-35343.84,-35.0642
85,2026-04-02T11:55:00+05:30,2026-04-02,equity,INFY_NS,332.19,65785.87,-35011.65,-34.7346
86,2026-04-02T12:00:00-04:00,2026-04-02,commodities,HGF,-950.59,64835.28,-35962.24,-35.6777
87,2026-04-02T12:15:00-04:00,2026-04-02,commodities,GCF,-598.53,64236.75,-36560.77,-36.2715
88,2026-04-02T12:30:00+05:30,2026-04-02,derivatives,CNXAUTO,-375.21,63861.54,-36935.98,-36.6437
89,2026-04-02T12:35:00+05:30,2026-04-02,derivatives,CNXFMCG,-284.44,63577.1,-37220.42,-36.9259
90,2026-04-02T12:35:00+05:30,2026-04-02,derivatives,NSEI,-269.28,63307.82,-37489.7,-37.1931
91,2026-04-02T12:35:00+05:30,2026-04-02,equity,ITC_NS,-465.36,62842.46,-37955.06,-37.6548
92,2026-04-02T12:35:00+05:30,2026-04-02,equity,KOTAKBANK_NS,-540.92,62301.54,-38495.98,-38.1914
93,2026-04-02T12:35:00+05:30,2026-04-02,equity,LT_NS,-358.39,61943.15,-38854.37,-38.547
94,2026-04-02T12:35:00+05:30,2026-04-02,equity,TCS_NS,204.19,62147.34,-38650.18,-38.3444
95,2026-04-02T12:55:00+05:30,2026-04-02,equity,HDFCBANK_NS,-417.72,61729.62,-39067.9,-38.7588
96,2026-04-02T12:55:00-04:00,2026-04-02,commodities,SIF,78.52,61808.14,-38989.38,-38.6809
97,2026-04-02T13:00:00+05:30,2026-04-02,derivatives,NSEBANK,-194.08,61614.06,-39183.46,-38.8734
98,2026-04-02T13:00:00+05:30,2026-04-02,equity,BHARTIARTL_NS,185.2,61799.26,-38998.26,-38.6897
99,2026-04-02T13:00:00+05:30,2026-04-02,equity,ICICIBANK_NS,-378.64,61420.62,-39376.9,-39.0653
100,2026-04-02T13:00:00+05:30,2026-04-02,equity,SBIN_NS,-451.02,60969.6,-39827.92,-39.5128
101,2026-04-02T13:05:00+05:30,2026-04-02,equity,INFY_NS,218.59,61188.19,-39609.33,-39.2959
102,2026-04-02T13:10:00+05:30,2026-04-02,equity,INFY_NS,-447.6,60740.59,-40056.93,-39.74
103,2026-04-02T13:10:00+05:30,2026-04-02,equity,TCS_NS,-367.33,60373.26,-40424.26,-40.1044
104,2026-04-02T13:20:00-04:00,2026-04-02,commodities,NGF,-995.65,59377.61,-41419.91,-41.0922
105,2026-04-02T13:25:00-04:00,2026-04-02,commodities,NGF,-1049.76,58327.85,-42469.67,-42.1336
106,2026-04-02T13:30:00+05:30,2026-04-02,equity,BHARTIARTL_NS,411.7,58739.55,-42057.97,-41.7252
107,2026-04-02T13:30:00-04:00,2026-04-02,commodities,GCF,197.8,58937.35,-41860.17,-41.529
108,2026-04-02T13:45:00-04:00,2026-04-02,commodities,HGF,-1005.98,57931.37,-42866.15,-42.527
109,2026-04-02T14:00:00+05:30,2026-04-02,equity,BHARTIARTL_NS,-442.64,57488.73,-43308.79,-42.9661
110,2026-04-02T14:10:00+05:30,2026-04-02,equity,RELIANCE_NS,-442.57,57046.16,-43751.36,-43.4052
111,2026-04-02T14:50:00-04:00,2026-04-02,commodities,GCF,281.8,57327.96,-43469.56,-43.1256
112,2026-04-02T15:05:00-04:00,2026-04-02,commodities,HGF,-1050.0,56277.96,-44519.56,-44.1673
113,2026-04-02T15:10:00-04:00,2026-04-02,commodities,GCF,-312.71,55965.25,-44832.27,-44.4776
114,2026-04-02T15:20:00-04:00,2026-04-02,commodities,CLF,-202.38,55762.87,-45034.65,-44.6783
115,2026-04-02T15:20:00-04:00,2026-04-02,commodities,NGF,-1013.12,54749.75,-46047.77,-45.6834
116,2026-04-02T15:20:00-04:00,2026-04-02,commodities,SIF,-784.7,53965.05,-46832.47,-46.4619
117,2026-04-06T09:20:00+05:30,2026-04-06,equity,RELIANCE_NS,-685.53,53279.52,-47518.0,-47.142
118,2026-04-06T09:35:00-04:00,2026-04-06,commodities,CLF,-1049.8,52229.72,-48567.8,-48.1835
119,2026-04-06T09:55:00-04:00,2026-04-06,commodities,SIF,50.48,52280.2,-48517.32,-48.1334
120,2026-04-06T10:05:00-04:00,2026-04-06,commodities,SIF,36.64,52316.84,-48480.68,-48.0971
121,2026-04-06T10:20:00+05:30,2026-04-06,derivatives,NSEI,191.6,52508.44,-48289.08,-47.907
122,2026-04-06T10:25:00-04:00,2026-04-06,commodities,HGF,-923.83,51584.61,-49212.91,-48.8235
123,2026-04-06T10:25:00-04:00,2026-04-06,commodities,SIF,-56.0,51528.61,-49268.91,-48.8791
124,2026-04-06T10:30:00+05:30,2026-04-06,equity,ICICIBANK_NS,414.8,51943.41,-48854.11,-48.4676
125,2026-04-06T10:50:00-04:00,2026-04-06,commodities,HGF,-924.28,51019.13,-49778.39,-49.3845
126,2026-04-06T11:05:00+05:30,2026-04-06,derivatives,NSEI,106.8,51125.93,-49671.59,-49.2786
127,2026-04-06T11:05:00+05:30,2026-04-06,equity,SBIN_NS,-673.36,50452.57,-50344.95,-49.9466
128,2026-04-06T11:10:00-04:00,2026-04-06,commodities,SIF,-166.76,50285.81,-50511.71,-50.1121
129,2026-04-06T11:15:00-04:00,2026-04-06,commodities,NGF,-962.5,49323.31,-51474.21,-51.0669
130,2026-04-06T11:15:00-04:00,2026-04-06,commodities,SIF,-1049.73,48273.58,-52523.94,-52.1084
131,2026-04-06T11:20:00+05:30,2026-04-06,equity,LT_NS,247.0,48520.58,-52276.94,-51.8633
132,2026-04-06T11:25:00+05:30,2026-04-06,equity,ITC_NS,189.39,48709.97,-52087.55,-51.6754
133,2026-04-06T11:25:00-04:00,2026-04-06,commodities,CLF,481.44,49191.41,-51606.11,-51.1978
134,2026-04-06T11:35:00+05:30,2026-04-06,equity,BHARTIARTL_NS,437.21,49628.62,-51168.9,-50.764
135,2026-04-06T11:45:00+05:30,2026-04-06,equity,LT_NS,-465.18,49163.44,-51634.08,-51.2255
136,2026-04-06T11:50:00+05:30,2026-04-06,derivatives,NSEI,133.59,49297.03,-51500.49,-51.093
137,2026-04-06T11:55:00+05:30,2026-04-06,equity,BHARTIARTL_NS,-478.29,48818.74,-51978.78,-51.5675
138,2026-04-06T11:55:00+05:30,2026-04-06,equity,ICICIBANK_NS,-554.04,48264.7,-52532.82,-52.1172
139,2026-04-06T11:55:00-04:00,2026-04-06,commodities,NGF,-977.17,47287.53,-53509.99,-53.0866
140,2026-04-06T12:00:00+05:30,2026-04-06,derivatives,CNXAUTO,218.59,47506.12,-53291.4,-52.8698
141,2026-04-06T12:00:00+05:30,2026-04-06,equity,KOTAKBANK_NS,577.0,48083.12,-52714.4,-52.2973
142,2026-04-06T12:20:00+05:30,2026-04-06,derivatives,NSEI,-350.44,47732.68,-53064.84,-52.645
143,2026-04-06T12:20:00+05:30,2026-04-06,equity,KOTAKBANK_NS,-546.18,47186.5,-53611.02,-53.1868
144,2026-04-06T12:25:00+05:30,2026-04-06,equity,TCS_NS,250.0,47436.5,-53361.02,-52.9388
145,2026-04-06T12:25:00-04:00,2026-04-06,commodities,HGF,-977.83,46458.67,-54338.85,-53.9089
146,2026-04-06T12:35:00+05:30,2026-04-06,equity,ITC_NS,-567.93,45890.74,-54906.78,-54.4724
147,2026-04-06T12:40:00+05:30,2026-04-06,derivatives,CNXFMCG,74.5,45965.24,-54832.28,-54.3984
148,2026-04-06T12:40:00-04:00,2026-04-06,commodities,CLF,-57.47,45907.77,-54889.75,-54.4555
149,2026-04-06T12:45:00+05:30,2026-04-06,equity,SBIN_NS,-514.29,45393.48,-55404.04,-54.9657
150,2026-04-06T12:55:00+05:30,2026-04-06,derivatives,CNXAUTO,-454.36,44939.12,-55858.4,-55.4164
151,2026-04-06T12:55:00+05:30,2026-04-06,derivatives,CNXFMCG,-303.08,44636.04,-56161.48,-55.7171
152,2026-04-06T12:55:00+05:30,2026-04-06,equity,TCS_NS,-406.62,44229.42,-56568.1,-56.1205
153,2026-04-06T13:00:00+05:30,2026-04-06,equity,INFY_NS,398.4,44627.82,-56169.7,-55.7253
154,2026-04-06T13:00:00-04:00,2026-04-06,commodities,CLF,83.95,44711.77,-56085.75,-55.642
155,2026-04-06T13:00:00-04:00,2026-04-06,commodities,CLF,-1049.55,43662.22,-57135.3,-56.6832
156,2026-04-06T13:00:00-04:00,2026-04-06,commodities,NGF,-981.42,42680.8,-58116.72,-57.6569
157,2026-04-06T13:10:00-04:00,2026-04-06,commodities,GCF,-384.95,42295.85,-58501.67,-58.0388
158,2026-04-06T13:15:00-04:00,2026-04-06,commodities,SIF,-175.68,42120.17,-58677.35,-58.2131
159,2026-04-06T13:25:00-04:00,2026-04-06,commodities,SIF,-56.87,42063.3,-58734.22,-58.2695
160,2026-04-06T13:50:00+05:30,2026-04-06,equity,RELIANCE_NS,246.4,42309.7,-58487.82,-58.0251
161,2026-04-06T13:55:00+05:30,2026-04-06,equity,RELIANCE_NS,200.81,42510.51,-58287.01,-57.8258
162,2026-04-06T13:55:00-04:00,2026-04-06,commodities,NGF,-982.47,41528.04,-59269.48,-58.8005
163,2026-04-06T14:00:00+05:30,2026-04-06,equity,INFY_NS,292.0,41820.04,-58977.48,-58.5108
164,2026-04-06T14:05:00-04:00,2026-04-06,commodities,HGF,-1011.51,40808.53,-59988.99,-59.5144
165,2026-04-06T14:15:00-04:00,2026-04-06,commodities,HGF,-1004.33,39804.2,-60993.32,-60.5107
166,2026-04-06T14:30:00-04:00,2026-04-06,commodities,SIF,-1049.33,38754.87,-62042.65,-61.5518
167,2026-04-06T14:35:00-04:00,2026-04-06,commodities,HGF,-1049.98,37704.89,-63092.63,-62.5934
